run_id,dataset,variant,seed,status,provenance,source_path,runtime_sec,attempts
final_ablation__pems_bay__gated_fusion_forecast_only__seed44,pems_bay,gated_fusion_forecast_only,44,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_44,2621.450514799999,1.0
reused__pems_bay__sraf_id_forecast_only__seed45,pems_bay,sraf_id_forecast_only,45,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_45,,
reused__pems_bay__id_mlp_ca__seed45,pems_bay,id_mlp_ca,45,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed45,,
final_ablation__pems_bay__temporal_only_forecast_only__seed45,pems_bay,temporal_only_forecast_only,45,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_45,2402.9343713000017,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed45,pems_bay,spatial_only_forecast_only,45,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_45,2402.7418946,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed45,pems_bay,fixed_fusion_forecast_only,45,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_45,3382.663045000001,1.0
final_ablation__pems_bay__gated_fusion_forecast_only__seed45,pems_bay,gated_fusion_forecast_only,45,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_45,2582.193672100002,1.0
reused__pems_bay__sraf_id_forecast_only__seed46,pems_bay,sraf_id_forecast_only,46,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_46,,
reused__pems_bay__id_mlp_ca__seed46,pems_bay,id_mlp_ca,46,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed46,,
final_ablation__pems_bay__temporal_only_forecast_only__seed46,pems_bay,temporal_only_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_46,2338.4480552999994,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed46,pems_bay,spatial_only_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_46,3137.456096599999,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed46,pems_bay,fixed_fusion_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_46,2274.7845855000014,1.0
final_ablation__pems_bay__gated_fusion_forecast_only__seed46,pems_bay,gated_fusion_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_46,1546.724650199998,1.0
reused__pems_bay__sraf_id_forecast_only__seed47,pems_bay,sraf_id_forecast_only,47,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_47,,
reused__pems_bay__id_mlp_ca__seed47,pems_bay,id_mlp_ca,47,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed47,,
final_ablation__pems_bay__temporal_only_forecast_only__seed47,pems_bay,temporal_only_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_47,2885.556488800001,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed47,pems_bay,spatial_only_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_47,2324.477907299999,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed47,pems_bay,fixed_fusion_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_47,1499.9986332000008,1.0
final_ablation__pems_bay__gated_fusion_forecast_only__seed47,pems_bay,gated_fusion_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_47,1486.3302187000008,1.0
reused__pems_bay__sraf_id_forecast_only__seed48,pems_bay,sraf_id_forecast_only,48,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_48,,
reused__pems_bay__id_mlp_ca__seed48,pems_bay,id_mlp_ca,48,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed48,,
final_ablation__pems_bay__temporal_only_forecast_only__seed48,pems_bay,temporal_only_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_48,2632.8337213,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed48,pems_bay,spatial_only_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_48,2326.7634251,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed48,pems_bay,fixed_fusion_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_48,1361.812722499999,1.0
final_ablation__pems_bay__gated_fusion_forecast_only__seed48,pems_bay,gated_fusion_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_48,2445.1638404999976,1.0
reused__pems_bay__sraf_id_forecast_only__seed49,pems_bay,sraf_id_forecast_only,49,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_49,,
reused__pems_bay__id_mlp_ca__seed49,pems_bay,id_mlp_ca,49,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed49,,
final_ablation__pems_bay__temporal_only_forecast_only__seed49,pems_bay,temporal_only_forecast_only,49,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_49,2790.9099198,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed49,pems_bay,spatial_only_forecast_only,49,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_49,3247.495212,1.0
