dataset,variant,fault,mae_mean,mae_sample_sd,difference_vs_full,relative_difference_vs_full_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
pems_bay,sraf_id_forecast_only,RM40,1.9296425104141235,0.007895221771556899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
pems_bay,sraf_id_forecast_only,CO24,1.9492518305778503,0.008455786514783055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
pems_bay,sraf_id_forecast_only,GN-high,2.0841681241989134,0.00936269621035773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
pems_bay,sraf_id_forecast_only,LD-high,2.0121060848236083,0.016366733847917293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
pems_bay,sraf_id_forecast_only,SV-high,1.8703925490379334,0.007639081772478905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
pems_bay,temporal_only_forecast_only,RM20,1.8345121264457702,0.008716779897864792,-0.02092158794403076,-1.1275847680126516,-0.020921587944030696,0.013888995973190661,-0.030857177130451385,-0.010985998757610005,0.0010246769732832639,0.00390625,9,1,-1.5063427179628208
pems_bay,temporal_only_forecast_only,RM40,1.89932062625885,0.007954060435539718,-0.030321884155273482,-1.5713731425188213,-0.030321884155273482,0.013783421022601787,-0.04018194957169291,-0.020461818738854054,6.635590257955969e-05,0.001953125,10,0,-2.199880864522113
pems_bay,temporal_only_forecast_only,CO24,1.9588016748428345,0.02236524246175533,0.009549844264984175,0.4899235755573537,0.009549844264984087,0.026775216806963355,-0.009603991986738955,0.02870368051670713,0.2885393017794071,0.4921875,4,6,0.3566672992354813
pems_bay,temporal_only_forecast_only,GN-high,2.0864002466201783,0.006711288471961898,0.002232122421264915,0.1070989617079414,0.0022321224212646486,0.01163635312877796,-0.006092023149720017,0.010556267992249315,0.5591061774826603,0.6953125,5,5,0.19182319379293916
pems_bay,temporal_only_forecast_only,LD-high,1.9974549651145934,0.006885178100093316,-0.014651119709014893,-0.7281484718684346,-0.014651119709014981,0.018995984887441378,-0.02824002868396055,-0.001062210734069412,0.037426940614382405,0.083984375,6,4,-0.7712745506920847
pems_bay,temporal_only_forecast_only,SV-high,1.8639166831970215,0.009984629765389127,-0.006475865840911865,-0.3462303057314269,-0.006475865840911888,0.013386165708440973,-0.01605175192491283,0.003100020243089056,0.160415580050465,0.193359375,6,4,-0.48377302223506563
pems_bay,spatial_only_forecast_only,RM20,2.107507920265198,0.007559515792906278,0.25207420587539686,13.58572952083588,0.25207420587539664,0.008715884182126533,0.24583923793407195,0.25830917381672136,1.1324200814916934e-14,0.001953125,0,10,28.921243170293558
pems_bay,spatial_only_forecast_only,RM40,2.2204633474349977,0.009616931660777504,0.29082083702087425,15.071228761355426,0.2908208370208739,0.011065612583933102,0.28290497464016146,0.29873669940158637,2.6773602460614952e-14,0.001953125,0,10,26.281494568419646
pems_bay,spatial_only_forecast_only,CO24,2.1032116651535033,0.0061330972986987035,0.153959834575653,7.898406566072687,0.15395983457565313,0.007946130482805127,0.14827551525903446,0.1596441538922718,4.14334233776744e-13,0.001953125,0,10,19.375447572728827
pems_bay,spatial_only_forecast_only,GN-high,2.152008080482483,0.006655243326178295,0.06783995628356942,3.2550136189058594,0.06783995628356929,0.010569344652402125,0.06027910259488931,0.07540080997224927,7.971368471323298e-09,0.001953125,0,10,6.418558436179968
pems_bay,spatial_only_forecast_only,LD-high,2.1589866399765016,0.01369059924086175,0.14688055515289333,7.29984150740092,0.14688055515289306,0.01990988033553262,0.13263788475782026,0.16112322554796585,2.326304840583154e-09,0.001953125,0,10,7.377269610744939
